snapshot,CCGT,OCGT,Offshore wind,Onshore wind,Solar,battery storage,pumped hydro
2015-01-01 00:00:00,32524.608738898845,0.0,92322.41326192231,50912.59227310559,0.0,0.0,0.0
2015-01-01 01:00:00,32669.92008157307,0.0,91398.82253084161,52639.65502014462,0.0,0.0,-3401.5577402072267
2015-01-01 02:00:00,28419.435300643156,0.0,94747.65864093394,54019.54050496982,0.0,0.0,-5981.161169856127
2015-01-01 03:00:00,21679.700010766097,0.0,99679.45772170107,49121.84620680896,0.0,0.0,0.0
2015-01-01 04:00:00,9954.758224631189,0.0,102762.15673910573,57048.45833763042,0.0,0.0,317.7317865144232
2015-01-01 05:00:00,6288.055786085992,0.0,104957.52754033463,58519.78884240406,0.0,0.0,-332.8737238953654
2015-01-01 06:00:00,7540.316865080696,0.0,108645.22635238367,54106.64333925398,0.0,0.0,0.0
2015-01-01 07:00:00,7239.702031003217,0.0,107233.03598072992,62313.96970595767,775.5890018743269,165.2534659790108,-6362.176115276199
2015-01-01 08:00:00,0.0,0.0,107247.97181660638,55043.30721348584,11633.835028114901,0.0,0.0
2015-01-01 09:00:00,0.0,0.0,80799.76084551119,71207.00367923595,28859.463829102064,0.0,-3836.876456628648
2015-01-01 10:00:00,0.0,0.0,59821.18817153506,73705.88188838537,43696.25569000768,0.0,0.0
2015-01-01 11:00:00,0.0,0.0,63250.947615954974,85566.67323405908,48214.25014996529,0.0,-21020.97552165641
2015-01-01 12:00:00,0.0,0.0,109212.74878864794,77737.54468781798,43531.31664288444,-40146.712384958155,-16686.30764726818
2015-01-01 13:00:00,0.0,0.0,59854.06734180033,80854.80549335327,30683.577053066576,0.0,0.0
2015-01-01 14:00:00,0.0,0.0,100123.15879411361,68231.90156685587,13572.807532800722,0.0,-7000.0
2015-01-01 15:00:00,0.0,0.0,115056.75756968866,31765.527877593693,0.0,36612.69033424075,0.0
2015-01-01 16:00:00,0.0,0.0,116320.21982884106,71942.50713590131,0.0,1550.7744589004578,0.0
2015-01-01 17:00:00,0.0,0.0,117358.56117885288,73873.95829054591,0.0,0.0,-1028.3437312645838
2015-01-01 18:00:00,0.0,0.0,117335.80058372882,72538.55847693577,0.0,0.0,-1308.000685873308
2015-01-01 19:00:00,0.0,0.0,118512.86617127946,68342.63178969319,0.0,0.0,-1871.8239166863734
2015-01-01 20:00:00,0.0,0.0,115981.5285681882,68245.07479543693,0.0,0.0,-1421.7772907627277
2015-01-01 21:00:00,0.0,0.0,113290.85715238194,69475.42639190226,0.0,0.0,-1534.482839038028
2015-01-01 22:00:00,0.0,0.0,111069.25966329924,68987.24325896741,0.0,0.0,-3142.458528191384
2015-01-01 23:00:00,0.0,0.0,110201.52155534012,72873.15014729231,0.0,0.0,-10121.905023181682
2015-01-02 00:00:00,0.0,0.0,111036.52158692358,58932.125259750675,0.0,0.0,0.0
2015-01-02 01:00:00,0.0,0.0,115049.16001950577,57080.27525507726,0.0,0.0,-3585.162278136697
2015-01-02 02:00:00,0.0,0.0,115207.31353078263,56513.65483441551,0.0,0.0,-4020.169074116392
2015-01-02 03:00:00,0.0,0.0,109611.75181109937,66380.19750124883,0.0,0.0,-7434.840302126187
2015-01-02 04:00:00,0.0,0.0,120579.71240185223,54029.91684813024,0.0,0.0,-3725.0288081489125
2015-01-02 05:00:00,0.0,0.0,120672.5803358812,56724.046632512574,0.0,0.0,-2242.426511386988
2015-01-02 06:00:00,0.0,0.0,117947.12725964558,64233.24089100725,0.0,0.0,-3330.8395268620916
2015-01-02 07:00:00,0.0,0.0,82141.44100008029,125733.69565373738,1357.280753280072,0.0,-25931.108861086686
2015-01-02 08:00:00,0.0,0.0,63983.922119595285,122780.63508844248,8243.019713020105,0.0,-11289.128227186038
2015-01-02 09:00:00,0.0,0.0,48719.217899273295,122234.97546056547,12105.294149503698,0.0,0.0
2015-01-02 10:00:00,0.0,0.0,39320.19957243042,121758.03604835547,21047.047649720087,0.0,0.0
2015-01-02 11:00:00,0.0,0.0,31586.270004870574,121065.99817537738,27645.036986267347,0.0,0.0
2015-01-02 12:00:00,0.0,0.0,34090.22813152971,112468.86240341736,30919.993072912795,0.0,0.0
2015-01-02 13:00:00,0.0,0.0,30273.83160819802,116661.207018627,28027.702590806228,0.0,0.0
