country,Onshore wind,Offshore wind,Solar,OCGT,CCGT,battery storage,pumped hydro
Denmark,5.217704710538827,12.494043964347934,8.27793277830599,4.02782208996693,1.0724466953502598,0.0,0.0
Sweden,17.187082235929235,25.482666568527787,50.079766401930016,6.90557845271292,5.961282710985546,0.0,16.0
Norway,63.28589388144479,4.821672986353184,0.0,2.773585575947774,0.0,0.0,33.0
Germany,119.59548804363523,89.35111637312345,193.89725046858172,37.54704543324512,61.94950775050491,40.14671238495816,7.0
